Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,VMT,NOx_RUNEX,PM2.5_RUNEX,PM10_RUNEX,CO2_RUNEX,CH4_RUNEX,N2O_RUNEX,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,SOx_RUNEX
Riverside (SC),2016,HHDT,1972,5,GAS,0.039685358,12.37601354,0.138825962,0.145487186,7202.377183,4.831829616,0.309772512,43.56685614,47.36558249,1077.512705,0.071273361
Riverside (SC),2016,HHDT,1972,5,DSL,36.53331072,45.82143577,0.752510132,0.786535301,8055.258862,0.110528294,1.266174517,2.379643861,2.709043394,4.15337688,0.076102092
Riverside (SC),2016,HHDT,1972,10,GAS,0.011752922,13.07272853,0.096642341,0.101279487,5662.578386,3.382067504,0.327211339,30.49487671,33.15381751,768.4883445,0.056035804
Riverside (SC),2016,HHDT,1972,10,DSL,74.68632061,40.67323894,0.144463571,0.150995573,7952.053038,0.011506587,1.249951999,0.247733667,0.282025922,0.54767247,0.075127054
Riverside (SC),2016,HHDT,1972,15,GAS,0.025974875,13.9731034,0.070401758,0.073779814,4559.397224,2.521383399,0.349747787,22.73440013,24.71668144,587.9412213,0.045118932
Riverside (SC),2016,HHDT,1972,15,DSL,38.90698269,31.88546091,0.436193036,0.455915749,6099.047903,0.045605701,0.958685396,0.981878239,1.117793633,2.860717186,0.05762078
Riverside (SC),2016,HHDT,1972,20,GAS,0.083455743,14.52918152,0.053667842,0.056242962,3734.5861,1.89812351,0.363666462,17.11469163,18.60697351,457.4835408,0.036956757
Riverside (SC),2016,HHDT,1972,20,DSL,81.67444655,26.07070781,1.681195746,1.757211958,3585.260062,0.12861352,0.563552954,2.769013819,3.152311452,13.39757598,0.033871759
Riverside (SC),2016,HHDT,1972,25,GAS,0.406225578,15.19974662,0.042811734,0.044865951,3169.433224,1.510603312,0.380450755,13.62056248,14.80818065,378.8021871,0.031364111
Riverside (SC),2016,HHDT,1972,25,DSL,119.0074682,23.5687306,1.189981806,1.243787503,3207.54736,0.074796782,0.504181777,1.610354197,1.833265672,9.305758905,0.030303317
Riverside (SC),2016,HHDT,1972,30,GAS,0.927306443,15.89664991,0.035737858,0.037452652,2801.26127,1.259883695,0.397894295,11.35991458,12.35041999,330.6335335,0.027720751
Riverside (SC),2016,HHDT,1972,30,DSL,217.6021255,21.75288934,1.316578242,1.376108068,2649.268241,0.080341538,0.416428074,1.729731286,1.9691674,9.788202315,0.025028973
Riverside (SC),2016,HHDT,1972,35,GAS,1.237734249,16.60330289,0.031218418,0.032716357,2590.627489,1.099591869,0.41558187,9.914621285,10.77910719,303.9062385,0.025636359
Riverside (SC),2016,HHDT,1972,35,DSL,343.2641526,20.63060302,1.003424542,1.048794948,2805.638546,0.058864941,0.441007309,1.267346029,1.442776982,6.963873311,0.026506282
Riverside (SC),2016,HHDT,1972,40,GAS,1.166198759,17.34715982,0.028537141,0.029906426,2507.334984,1.006628445,0.434200662,9.076403793,9.867802973,294.9523834,0.024812112
Riverside (SC),2016,HHDT,1972,40,DSL,305.9272989,19.61503565,1.020571548,1.066717265,2517.938577,0.058211178,0.39578488,1.253270696,1.426753286,6.599989638,0.023788235
Riverside (SC),2016,HHDT,1972,45,GAS,1.319061074,18.14839085,0.027297764,0.028607581,2524.678057,0.967765951,0.454255533,8.725994775,9.48684073,302.1243513,0.024983736
Riverside (SC),2016,HHDT,1972,45,DSL,311.8048314,18.96086818,1.028336646,1.074833466,2297.926746,0.057395672,0.361202084,1.235713072,1.406765269,6.153100207,0.021709672
Riverside (SC),2016,HHDT,1972,50,GAS,2.365135123,18.7879071,0.027325011,0.028636135,2615.941263,0.961570413,0.470262671,8.670131848,9.426106944,322.4242323,0.025886859
Riverside (SC),2016,HHDT,1972,50,DSL,423.0618195,18.49215429,1.190229979,1.244046897,1870.042192,0.065909462,0.293944591,1.419012642,1.615437876,6.592540309,0.017667231
Riverside (SC),2016,HHDT,1972,55,GAS,3.076725778,19.48124385,0.028622718,0.029996109,2768.083082,1.003707357,0.48761694,9.050065404,9.83916806,363.7871813,0.027392426
Riverside (SC),2016,HHDT,1972,55,DSL,539.1613628,18.4991722,1.224662471,1.280036274,1723.060145,0.068039936,0.27084106,1.464881165,1.667655698,6.295721419,0.016278618
Riverside (SC),2016,HHDT,1972,60,GAS,3.85895889,20.27263046,0.031374586,0.032880018,2972.199257,1.103880838,0.507425404,9.953293365,10.82115121,435.3728999,0.029412321
Riverside (SC),2016,HHDT,1972,60,DSL,796.1707301,18.69063232,1.215399683,1.270354664,1721.599665,0.067996197,0.270611493,1.463939468,1.666583647,6.045493562,0.01626482
Riverside (SC),2016,HHDT,1972,65,GAS,2.71832305,21.51310383,0.03598853,0.037715352,3252.666471,1.307188547,0.538474542,11.78644528,12.8141412,565.1884799,0.032187772
Riverside (SC),2016,HHDT,1972,65,DSL,967.3884618,18.77332256,1.215399683,1.270354664,1721.599665,0.067996197,0.270611493,1.463939468,1.666583647,6.045493562,0.01626482
Riverside (SC),2016,HHDT,1972,70,GAS,0.459117443,22.62451279,0.03920546,0.041086638,3453.693938,1.488451666,0.566293188,13.42082912,14.59103192,675.2065384,0.034177101
Riverside (SC),2016,HHDT,1972,70,DSL,244.5328142,18.81801139,1.215399683,1.270354664,1721.599665,0.067996197,0.270611493,1.463939468,1.666583647,6.045493562,0.01626482
Riverside (SC),2016,HHDT,1972,75,DSL,0,0,0,0,0,0,0,0,0,0,0
Riverside (SC),2016,HHDT,1972,80,DSL,0,0,0,0,0,0,0,0,0,0,0
Riverside (SC),2016,HHDT,1972,85,DSL,0,0,0,0,0,0,0,0,0,0,0
Riverside (SC),2016,HHDT,1972,90,DSL,0,0,0,0,0,0,0,0,0,0,0
Riverside (SC),2016,HHDT,1973,5,GAS,0.039685358,12.29456968,0.138825962,0.145487186,7225.484967,5.224503532,0.308349615,47.68840904,51.84650609,1083.652666,0.071502031
Riverside (SC),2016,HHDT,1973,5,DSL,0.079797212,43.3398517,3.472094609,3.62908732,4077.43174,0.556671906,0.640915488,11.98499349,13.64400278,20.67197788,0.038521553
Riverside (SC),2016,HHDT,1973,10,GAS,0.011752922,12.98669973,0.096642341,0.101279487,5678.881767,3.656921916,0.325708338,33.37978185,36.29026629,772.8674002,0.056197139
Riverside (SC),2016,HHDT,1973,10,DSL,0.020855715,38.15351554,3.047180547,3.18496053,3702.325544,0.450253538,0.581954018,9.693835203,11.03569347,19.32677755,0.034977736
Riverside (SC),2016,HHDT,1973,15,GAS,0.025974875,13.88114944,0.070401758,0.073779814,4571.687321,2.726291596,0.348141268,24.88514133,27.05495229,591.2914704,0.045240552
Riverside (SC),2016,HHDT,1973,15,DSL,0.071757175,30.26105183,2.33859943,2.444340519,3039.930209,0.271973425,0.477834695,5.855513251,6.666056107,16.81540465,0.028719753
Riverside (SC),2016,HHDT,1973,20,GAS,0.083455743,14.43356813,0.053667842,0.056242962,3743.972569,2.05238052,0.36199601,18.73379186,20.367248,460.0904064,0.037049644
Riverside (SC),2016,HHDT,1973,20,DSL,2.127763136,25.61355173,2.776097845,2.901620671,2481.724991,0.214265941,0.390092608,4.613086952,5.251648341,22.2940505,0.023446107
Riverside (SC),2016,HHDT,1973,25,GAS,0.406225578,15.09972039,0.042811734,0.044865951,3177.036294,1.633367268,0.378703206,14.90910781,16.20907815,380.960705,0.03143935
