"origin_x","origin_y","dest_x","dest_y","count"
-117.296483,33.945327,-117.383387,34.011999,21
-117.296483,33.945327,-117.28752,33.916393,127
-117.296483,33.945327,-117.3442075,33.9921072,1
-117.296483,33.945327,-117.339906,34.01894,141
-117.296483,33.945327,-117.313174,33.960619,1093
-117.296483,33.945327,-117.349606,33.992357,3
-117.296483,33.945327,-117.310354,33.960471,1
-117.296483,33.945327,-117.4660194,33.9552383,1
-117.296483,33.945327,-117.466508,33.967175,48
-117.296483,33.945327,-117.50298,33.893499,285
-117.296483,33.945327,-117.4072441,33.9551775,2
-117.296483,33.945327,-117.274329,33.94171,124
-117.296483,33.945327,-117.4373686,33.9141769,3
-117.296483,33.945327,-117.394269,34.005202,161
-117.296483,33.945327,-117.4463394,33.9437226,1
-117.296483,33.945327,-117.3476454,34.0012454,7
-117.296483,33.945327,-117.29651,33.916688,15
-117.296483,33.945327,-117.352886,33.883505,29
-117.296483,33.945327,-117.4458246,33.9626688,1
-117.296483,33.945327,-117.4582163,33.9525436,10
-117.296483,33.945327,-117.347818,34.0080201,6
-117.296483,33.945327,-117.4275789,33.9111012,4
-117.296483,33.945327,-117.289409,33.916764,9
-117.296483,33.945327,-117.3661764,33.9943164,13
-117.296483,33.945327,-117.310982,33.957994,7
-117.296483,33.945327,-117.3547335,33.9765116,1
-117.296483,33.945327,-117.4465943,33.9204225,29
-117.296483,33.945327,-117.36297,34.023906,20
-117.296483,33.945327,-117.4709057,33.9074182,2
-117.296483,33.945327,-117.306906,33.887547,50
-117.296483,33.945327,-117.3571733,33.9777844,1
-117.296483,33.945327,-117.288375,33.929359,11
-117.296483,33.945327,-117.4295031,33.9346664,2
-117.296483,33.945327,-117.3506642,33.9767725,3
-117.296483,33.945327,-117.2929526,33.938787,3
-117.296483,33.945327,-117.407558,33.885913,22
-117.296483,33.945327,-117.493,33.9011,2
-117.296483,33.945327,NA,NA,30
-117.296483,33.945327,-117.4365581,33.9306479,3
-117.296483,33.945327,-117.4869688,33.9179191,3
-117.296483,33.945327,-117.3299111,33.8848032,7
-117.296483,33.945327,-117.3698051,33.9776748,1
-117.296483,33.945327,-117.4952891,33.9205901,1
-117.296483,33.945327,-117.331293,34.0050935,5
-117.296483,33.945327,-117.2926296,33.9402403,5
-117.296483,33.945327,-117.3894653,33.9554157,12
-117.296483,33.945327,-117.285819,33.931397,15
-117.296483,33.945327,-117.416779,33.9238116,12
-117.296483,33.945327,-117.4512317,33.9108842,3
-117.296483,33.945327,-117.471432,33.9242758,14
-117.296483,33.945327,-117.4537962,33.9481533,13
-117.296483,33.945327,-117.3376963,33.9866368,3
-117.296483,33.945327,-117.454475,33.940399,2
-117.296483,33.945327,-117.3136414,34.0047687,1
-117.296483,33.945327,-117.2822052,33.9407475,2
-117.296483,33.945327,-117.3600711,33.9589258,1
-117.296483,33.945327,-117.437558,33.9151042,5
-117.296483,33.945327,-117.339904,34.015717,9
-117.296483,33.945327,-117.3585508,33.9756386,17
-117.296483,33.945327,-117.3754942,33.9806005,10
-117.296483,33.945327,-117.4243342,33.9421105,2
-117.296483,33.945327,-117.278804,33.931451,8
-117.296483,33.945327,-117.4323564,33.9628655,10
-117.296483,33.945327,-117.3363063,33.9784912,1
-117.296483,33.945327,-117.4726169,33.897001,3
-117.296483,33.945327,-117.3497474,33.9350816,1
-117.296483,33.945327,-117.3822201,33.9478606,4
-117.296483,33.945327,-117.278857,33.937626,7
-117.296483,33.945327,-117.4073172,33.9244578,11
-117.296483,33.945327,-117.4142925,33.9511044,1
-117.296483,33.945327,-117.4737407,33.9167825,3
-117.296483,33.945327,-117.3791758,33.9141911,1
-117.296483,33.945327,-117.3583879,33.981116,2
-117.296483,33.945327,-117.318275,33.9134365,3
-117.296483,33.945327,-117.4445149,33.9426142,2
-117.296483,33.945327,-117.379677,33.890558,3
-117.296483,33.945327,-117.3567816,33.9908998,4
-117.296483,33.945327,-117.286847,33.931422,8
-117.296483,33.945327,-117.3931516,33.9501484,1
-117.296483,33.945327,-117.302164,33.887499,23
-117.296483,33.945327,-117.3616014,33.9829496,3
-117.296483,33.945327,-117.4086693,33.9190995,2
-117.296483,33.945327,-117.4877578,33.9223662,1
-117.296483,33.945327,-117.4797514,33.940831,2
-117.296483,33.945327,-117.396986,33.991873,3
-117.296483,33.945327,-117.4308943,33.9104741,2
-117.296483,33.945327,-117.489183,33.893928,1
-117.296483,33.945327,-117.4434557,33.9403347,2
-117.501616,33.893848,-117.3583879,33.981116,2
-117.501616,33.893848,-117.313174,33.960619,992
-117.501616,33.893848,-117.3585508,33.9756386,16
-117.501616,33.893848,-117.339906,34.01894,160
-117.501616,33.893848,-117.306906,33.887547,61
-117.501616,33.893848,-117.4997967,33.8963848,1
-117.501616,33.893848,-117.3754942,33.9806005,12
-117.501616,33.893848,-117.394269,34.005202,161
-117.501616,33.893848,-117.4434557,33.9403347,4
-117.501616,33.893848,-117.4458246,33.9626688,2
-117.501616,33.893848,-117.50298,33.893499,271
-117.501616,33.893848,-117.274329,33.94171,104
-117.501616,33.893848,-117.4372747,33.9328116,1
-117.501616,33.893848,-117.4537962,33.9481533,15
-117.501616,33.893848,-117.27886,33.942407,7
-117.501616,33.893848,-117.3822201,33.9478606,4
-117.501616,33.893848,-117.4792163,33.9425728,8
-117.501616,33.893848,-117.4512317,33.9108842,5
-117.501616,33.893848,-117.383387,34.011999,13
-117.501616,33.893848,-117.4030863,33.9625981,2
-117.501616,33.893848,-117.466508,33.967175,41
-117.501616,33.893848,-117.329911,33.9522592,1
-117.501616,33.893848,-117.4582163,33.9525436,4
-117.501616,33.893848,-117.298327,33.946599,970
-117.501616,33.893848,-117.4365581,33.9306479,2
-117.501616,33.893848,-117.4600282,33.9477183,2
-117.501616,33.893848,-117.3299111,33.8848032,3
-117.501616,33.893848,-117.4019768,33.9672728,1
-117.501616,33.893848,-117.471432,33.9242758,14
-117.501616,33.893848,-117.28752,33.916393,90
-117.501616,33.893848,-117.514275,33.881973,4
-117.501616,33.893848,-117.407558,33.885913,24
-117.501616,33.893848,-117.302164,33.887499,25
-117.501616,33.893848,-117.506306,33.900313,2
-117.501616,33.893848,-117.288375,33.929359,6
-117.501616,33.893848,-117.278857,33.937626,13
-117.501616,33.893848,-117.3497474,33.9350816,1
-117.501616,33.893848,-117.344058,34.016189,3
-117.501616,33.893848,-117.301849,33.947768,16
-117.501616,33.893848,-117.318275,33.9134365,3
-117.501616,33.893848,-117.4278607,33.9034337,4
-117.501616,33.893848,-117.4253527,33.9417597,1
-117.501616,33.893848,-117.4925676,33.9012052,3
-117.501616,33.893848,-117.3972551,33.9386479,2
-117.501616,33.893848,-117.3894653,33.9554157,11
-117.501616,33.893848,-117.29651,33.916688,12
-117.501616,33.893848,-117.4820621,33.9359349,1
-117.501616,33.893848,-117.2926296,33.9402403,3
-117.501616,33.893848,-117.4465943,33.9204225,37
-117.501616,33.893848,-117.47316,33.901713,1
-117.501616,33.893848,-117.36297,34.023906,23
-117.501616,33.893848,-117.3661764,33.9943164,13
-117.501616,33.893848,-117.3771523,33.9845019,1
-117.501616,33.893848,-117.4322703,33.9161936,8
-117.501616,33.893848,-117.3485704,33.9729069,5
-117.501616,33.893848,-117.3982403,33.9661965,1
-117.501616,33.893848,-117.3609226,33.9798234,2
-117.501616,33.893848,-117.383373,33.901607,3
-117.501616,33.893848,NA,NA,18
-117.501616,33.893848,-117.4188709,33.9248883,4
-117.501616,33.893848,-117.4456357,33.9059509,1
-117.501616,33.893848,-117.352886,33.883505,23
-117.501616,33.893848,-117.4275789,33.9111012,1
-117.501616,33.893848,-117.3707136,33.9590368,1
-117.501616,33.893848,-117.3164762,33.9746342,1
-117.501616,33.893848,-117.493,33.9011,1
-117.501616,33.893848,-117.454475,33.940399,1
-117.501616,33.893848,-117.3981992,33.94728,1
-117.501616,33.893848,-117.4323564,33.9628655,7
-117.501616,33.893848,-117.3633606,33.9960259,3
-117.501616,33.893848,-117.4142925,33.9511044,1
-117.501616,33.893848,-117.3476454,34.0012454,4
-117.501616,33.893848,-117.3571733,33.9777844,2
-117.501616,33.893848,-117.289409,33.916764,6
-117.501616,33.893848,-117.3442075,33.9921072,2
-117.501616,33.893848,-117.2929526,33.938787,1
-117.501616,33.893848,-117.4523699,33.9079045,3
-117.501616,33.893848,-117.4436573,33.9420791,1
-117.501616,33.893848,-117.3228471,33.8861291,3
-117.501616,33.893848,-117.4086693,33.9190995,3
-117.30683,33.95695,-117.394269,34.005202,139
-117.30683,33.95695,-117.50298,33.893499,289
-117.30683,33.95695,-117.339906,34.01894,143
-117.30683,33.95695,-117.466508,33.967175,41
-117.30683,33.95695,-117.4323564,33.9628655,8
-117.30683,33.95695,-117.4523699,33.9079045,8
-117.30683,33.95695,-117.28752,33.916393,107
-117.30683,33.95695,-117.2946117,33.9349985,6
-117.30683,33.95695,-117.407558,33.885913,29
-117.30683,33.95695,-117.339904,34.015717,8
-117.30683,33.95695,-117.3661764,33.9943164,15
-117.30683,33.95695,-117.274329,33.94171,100
-117.30683,33.95695,-117.330895,33.9581516,4
-117.30683,33.95695,-117.4582163,33.9525436,6
-117.30683,33.95695,-117.471432,33.9242758,15
-117.30683,33.95695,-117.3476454,34.0012454,6
-117.30683,33.95695,-117.4537962,33.9481533,5
-117.30683,33.95695,-117.383387,34.011999,22
-117.30683,33.95695,-117.4072441,33.9551775,2
-117.30683,33.95695,-117.4600282,33.9477183,1
-117.30683,33.95695,-117.306906,33.887547,43
-117.30683,33.95695,-117.405102,33.884043,4
-117.30683,33.95695,-117.4671557,33.8954758,2
-117.30683,33.95695,-117.347818,34.0080201,5
-117.30683,33.95695,-117.302164,33.887499,36
-117.30683,33.95695,-117.3583879,33.981116,2
-117.30683,33.95695,-117.3506642,33.9767725,5
-117.30683,33.95695,-117.331293,34.0050935,6
-117.30683,33.95695,-117.4869688,33.9179191,1
-117.30683,33.95695,-117.4465943,33.9204225,42
