"x_start","y_start","x_end","y_end","Count"
-117.331293,34.0050935,-117.313174,33.960619,1
-117.4227462,33.9015729,-117.298327,33.946599,1
-117.407558,33.885913,-117.394269,34.005202,3
-117.396986,33.991873,-117.50298,33.893499,1
-117.339921,34.004788,-117.313174,33.960619,1
-117.3355729,34.0084108,-117.50298,33.893499,1
-117.4322703,33.9161936,-117.313174,33.960619,1
-117.407558,33.885913,-117.313174,33.960619,1
-117.339904,34.015717,-117.466508,33.967175,1
-117.339904,34.015717,-117.313174,33.960619,2
-117.3280645,34.0032736,-117.3249183,33.8888891,1
-117.4227462,33.9015729,-117.313174,33.960619,2
-117.331293,34.0050935,-117.298327,33.946599,1
-117.339921,34.004788,-117.298327,33.946599,1
-117.339904,34.015717,-117.302164,33.887499,1
-117.407558,33.885913,-117.407558,33.885913,1
-117.331293,34.0050935,-117.28752,33.916393,1
-117.407558,33.885913,-117.298327,33.946599,4
-117.331293,34.0050935,-117.274329,33.94171,1
-117.407558,33.885913,-117.50298,33.893499,1
-117.3280881,34.0035359,-117.394269,34.005202,1
-117.4227462,33.9015729,-117.394269,34.005202,1
-117.471432,33.9242758,-117.28752,33.916393,1
-117.4227462,33.9015729,-117.50298,33.893499,1
-117.407558,33.885913,-117.274329,33.94171,1
-117.339921,34.004788,-117.394269,34.005202,1
-117.393505,34.005081,-117.50298,33.893499,11
-117.393505,34.005081,-117.278804,33.931451,1
-117.407558,33.885913,-117.3585508,33.9756386,1
-117.407558,33.885913,-117.339906,34.01894,1
-117.4458246,33.9626688,-117.313174,33.960619,1
-117.393505,34.005081,-117.274329,33.94171,9
-117.4227462,33.9015729,-117.407558,33.885913,1
-117.501616,33.893848,-117.298327,33.946599,23
-117.501616,33.893848,-117.289409,33.916764,1
-117.344088,34.013247,-117.394269,34.005202,16
-117.393505,34.005081,-117.352886,33.883505,5
-117.4797514,33.940831,-117.3754942,33.9806005,1
-117.344088,34.013247,-117.298327,33.946599,14
-117.45699,33.909612,-117.339906,34.01894,1
-117.3280645,34.0032736,-117.298327,33.946599,1
-117.475855,33.9019797,-117.274329,33.94171,1
