,schools_name,schools_enrollment,schools_adress,schools_adress_url,Latitude,Longitude
0,Martin Luther King Jr. High School,"3,071","9301 Wood Road, Riverside, CA 92508",https://www.greatschools.org/california/riverside/11807-Martin-Luther-King-Jr.-High-School/#Neighborhood,33.8838128,-117.3344411
1,Riverside Stem Academy,663,"4466 Mount Vernon Avenue, Riverside, CA 92507",https://www.greatschools.org/california/riverside/27053-Riverside-Stem-Academy/#Neighborhood,33.9688148,-117.3132149
2,Lake Hills Elementary School,747,"16346 Village Meadow Drive, Riverside, CA 92503",https://www.greatschools.org/california/riverside/17489-Lake-Hills-Elementary-School/#Neighborhood,33.8714879,-117.4814693
3,Benjamin Franklin Elementary School,819,"19661 Orange Terrace Parkway, Riverside, CA 92508",https://www.greatschools.org/california/riverside/4456-Benjamin-Franklin-Elementary-School/#Neighborhood,33.8942583,-117.3203746
4,Tomas Rivera Elementary School,740,"20440 Red Poppy Lane, Riverside, CA 92508",https://www.greatschools.org/california/riverside/4479-Tomas-Rivera-Elementary-School/#Neighborhood,33.8884683,-117.3061405
5,Mark Twain Elementary School,"1,055","19411 Krameria Avenue, Riverside, CA 92508",https://www.greatschools.org/california/riverside/17052-Mark-Twain-Elementary-School/#Neighborhood,33.8790928,-117.3242773
6,Riverside Virtual,117,"4011 Fourteenth Street, Riverside, CA 92506",https://www.greatschools.org/california/riverside/17661-Riverside-Virtual/#Neighborhood,33.9782678,-117.3820743
7,John F. Kennedy Elementary School,"1,018","19125 Schoolhouse Lane, Riverside, CA 92508",https://www.greatschools.org/california/riverside/12191-John-F.-Kennedy-Elementary-School/#Neighborhood,33.8972881,-117.3297868
8,Lake Mathews Elementary School,831,"12252 Blackburn Road, Riverside, CA 92503",https://www.greatschools.org/california/riverside/12360-Lake-Mathews-Elementary-School/#Neighborhood,33.8643584,-117.4465308
9,Frank Augustus Miller Middle School,"1,033","17925 Krameria Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/25121-Frank-Augustus-Miller-Middle-School/#Neighborhood,33.87873280000001,-117.3502215
10,Amelia Earhart Middle School,926,"20202 Aptos Street, Riverside, CA 92508",https://www.greatschools.org/california/riverside/4454-Amelia-Earhart-Middle-School/#Neighborhood,33.8904939,-117.3108241
11,Polytechnic High School,"2,465","5450 Victoria Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4476-Polytechnic-High-School/#Neighborhood,33.9515644,-117.3694972
12,Hillcrest High School,"1,638","11800 Indiana Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/27048-Hillcrest-High-School/#Neighborhood,33.8899333,-117.4844971
13,Arizona Middle School,918,"11045 Arizona Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4202-Arizona-Middle-School/#Neighborhood,33.8916963,-117.4649471
14,Madison Elementary School,730,"3635 Madison Street, Riverside, CA 92504",https://www.greatschools.org/california/riverside/4470-Madison-Elementary-School/#Neighborhood,33.9390568,-117.4065058
15,Pachappa Elementary School,760,"6200 Riverside Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4475-Pachappa-Elementary-School/#Neighborhood,33.9557174,-117.3861823
16,Ysmael Villegas Middle School,"1,398","3754 Harvill Lane, Riverside, CA 92503",https://www.greatschools.org/california/riverside/12545-Ysmael-Villegas-Middle-School/#Neighborhood,33.8833401,-117.5065165
17,Reach Leadership Academy,573,"3422 Rustin Ave Riverside, CA 92507, Riverside, CA 92504",https://www.greatschools.org/california/riverside/26934-Reach-Leadership-Academy/#Neighborhood,33.9801538,-117.3352504
18,S. Christa Mcauliffe Elementary School,759,"4100 Golden Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4209-S.-Christa-Mcauliffe-Elementary-School/#Neighborhood,33.9046654,-117.4853688
19,Alcott Elementary School,761,"2433 Central Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4448-Alcott-Elementary-School/#Neighborhood,33.9540792,-117.3637133
