,senior_housing_name,address,Latitude,Longitude
0,Magnolia Grand,"8537 Magnolia Ave Riverside, CA 92504",33.9315632,-117.4294837
1,Windwood Apartments,"1120 W Linden St Riverside, CA 92507",33.9787801,-117.3371226
2,Merrill Gardens at Rancho Cucamonga,"9942 Highland Ave Rancho Cucamonga, CA 91737",34.1371231,-117.588578
3,Anacapa Apartment Homes,"100 Anacapa Irvine, CA 92602",33.726527,-117.7842002
4,The Aspens Riverside,"7955 Magnolia Ave Riverside, CA 92504",33.9371375,-117.418229
5,Arcadia Gardens Retirement Hotel,"720 W Camino Real Ave Arcadia, CA 91007",34.1214223,-118.056115
6,Park Regency Retirement Center,"1750 W La Habra Blvd La Habra, CA 90631",33.9314612,-117.9650801
7,Bella Park Apartments,"210 N Beechwood Ave Rialto, CA 92376",34.1043114,-117.3895849
8,Paloma Apartments Homes,"1056 E Philadephia St Ontario, CA 91761",34.0336289,-117.6332622
9,Marea,"32400 Crown Valley Pkwy Dana Point, CA 92629",33.4939191,-117.7187942
10,SYNERGY HomeCare,"1101 California Ave Ste 203 Corona, CA 92881",33.8622353,-117.5441049
11,24 Hour Home Care - Riverside,"1420 Iowa Ave Ste 130 Riverside, CA 92507",33.9988266,-117.3388508
12,Valencia Terrace,"2300 S Main St Corona, CA 92882",33.8543148,-117.5712297
13,Senior HomeCare Referral Agency,"3615 Main St Riverside, CA 92501",33.9839408,-117.3735366
14,Casa Grande Senior Apartments,"801 Magnolia Ave Corona, CA 92879",33.860163,-117.5538496
15,Linda Valley Villa,"11075 Benton St Loma Linda, CA 92354",34.0525553,-117.2518861
16,American Senior Home Finders,"13217 Jamboree Rd Ste 132 Tustin, CA 92782",33.7302531,-117.7895438
17,Mission Palms Apartments,"5875 Mission Blvd Riverside, CA 92509",34.001021,-117.4133759
18,Goldware Senior Housing,"6730 Streeter Ave Riverside, CA 92504",33.9509418,-117.4178045
19,Golden Age Companions,"18851 Bardeen Ave Ste 200 Irvine, CA 92612",33.6702569,-117.8563162
20,Promenade at Irvine Spectrum,"1100 Perlita Irvine, CA 92618",33.640459,-117.7453589
21,Magnolia Grand,"8537 Magnolia Ave Riverside, CA 92504",33.9315632,-117.4294837
22,Park Regency Retirement Center,"1750 W La Habra Blvd La Habra, CA 90631",33.9314612,-117.9650801
23,Anacapa Apartment Homes,"100 Anacapa Irvine, CA 92602",33.726527,-117.7842002
24,Merrill Gardens at Rancho Cucamonga,"9942 Highland Ave Rancho Cucamonga, CA 91737",34.1371231,-117.588578
25,Arcadia Gardens Retirement Hotel,"720 W Camino Real Ave Arcadia, CA 91007",34.1214223,-118.056115
26,Strada Apartments,"175 N Feldner Rd Orange, CA 92868",33.7889831,-117.8702448
27,Windwood Apartments,"1120 W Linden St Riverside, CA 92507",33.9787801,-117.3371226
28,Bella Park Apartments,"210 N Beechwood Ave Rialto, CA 92376",34.1043114,-117.3895849
29,Paloma Apartments Homes,"1056 E Philadephia St Ontario, CA 91761",34.0336289,-117.6332622
30,Promenade at Irvine Spectrum,"1100 Perlita Irvine, CA 92618",33.640459,-117.7453589
31,Care Connexxus Adult Day Care,"4130 Adams St Ste B Riverside, CA 92504",33.9379227,-117.4289801
32,Sensible Senior Homecare,"11519 Jurupa Rd Mira Loma, CA 91752",33.9936274,-117.5346323
33,Senior Housing Net,"1916 Orange Tree Ln Ste 450B Redlands, CA 92374",34.0682839,-117.2189559
34,Bella Maison Assisted Living,"1469 N 13th Ave Upland, CA 91786",34.1167754,-117.6336518
35,Legacy House Upland,"in Elder Care Planning, Hospice",38.6490889,-90.56096509999999
36,Integrated Care Communities,"14315 Nason St Moreno Valley, CA 92555",33.9127447,-117.1921397
37,Amada Senior Care,"4740 Green River Rd Ste 117 E Corona, CA 92880",33.8771696,-117.6606994
38,Pacifica Senior Living Hillsborough,"11918 Central Ave Chino, CA 91710",34.0376714,-117.6900043
39,Brightwater Senior Living of Highland,"28807 Baseline St Highland, CA 92346",34.1201575,-117.1759439
40,Lotus Senior Care,"25422 Marina Cir Mission Viejo, CA 92691",33.6091361,-117.6869568
41,Marea,"32400 Crown Valley Pkwy Dana Point, CA 92629",33.4939191,-117.7187942
42,Magnolia Grand,"8537 Magnolia Ave Riverside, CA 92504",33.9315632,-117.4294837
43,University Village Towers,"3500 Iowa Ave Riverside, CA 92507",33.9784462,-117.3395201
44,Park Regency Retirement Center,"1750 W La Habra Blvd La Habra, CA 90631",33.9314612,-117.9650801
45,Arcadia Gardens Retirement Hotel,"720 W Camino Real Ave Arcadia, CA 91007",34.1214223,-118.056115
46,Windwood Apartments,"1120 W Linden St Riverside, CA 92507",33.9787801,-117.3371226
47,Strada Apartments,"175 N Feldner Rd Orange, CA 92868",33.7889831,-117.8702448
48,Anacapa Apartment Homes,"100 Anacapa Irvine, CA 92602",33.726527,-117.7842002
49,Merrill Gardens at Rancho Cucamonga,"9942 Highland Ave Rancho Cucamonga, CA 91737",34.1371231,-117.588578
50,Paloma Apartments Homes,"1056 E Philadephia St Ontario, CA 91761",34.0336289,-117.6332622
51,Marea,"32400 Crown Valley Pkwy Dana Point, CA 92629",33.4939191,-117.7187942
52,SYNERGY HomeCare,"1101 California Ave Ste 203 Corona, CA 92881",33.8622353,-117.5441049
