"id","WH_0_5","WH_5_9","WH_10_14","WH_15_29","WH_30_64","WH_65up"
"60650301011005",1.2,0.06,0.03,2,2,0.8
"60650301011006",0,0,0,0,0,0
"60650301011007",0,0,0,0,0,0
"60650301011008",2.8,0.09,0.15,11,11,0
"60650301011009",0,0.06,0.03,9,9,0.8
"60650301011011",2.8,0.06,0.03,24,24,4.8
"60650301011012",2.8,0.3,0.21,7,7,0.8
"60650301011015",1.2,0.06,0.06,6,6,0.8
"60650301011013",0.4,0.03,0,2,2,2.4
"60650301011028",0,0,0,0,0,0
"60650301011014",2.4,0.09,0.12,7,7,0.8
"60650301011016",3.6,0.36,0.39,37,37,7.2
"60650301011017",8,0.45,0.33,60,60,6.4
"60650301011018",0,0,0.09,43,43,2.4
"60650301011021",0.8,0.09,0.15,9,9,3.2
"60650301011019",3.2,0.18,0.15,33,33,0.8
"60650301011020",1.2,0.12,0.24,43,43,1.6
"60650301011022",1.2,0.21,0.15,14,14,3.2
"60650301011024",0,0,0,0,0,0
"60650301011025",0,0,0,0,0,0
"60650301011026",1.2,0.12,0.21,30,30,0.8
"60650301011027",0,0,0,0,0,0
"60650301011029",1.2,0.09,0.09,5,5,0.8
"60650301011000",0,0,0,0,0,0
"60650301011001",0,0,0,0,0,0
"60650301011002",0,0,0.06,2,2,0
"60650301011023",1.2,0.09,0.24,10,10,0.8
"60650301011030",9.6,0.6,0.42,47,47,3.2
"60650301011003",0,0,0,0,0,0
"60650301011004",0.8,0.12,0.3,12,12,3.2
"60650301011010",0.4,0.24,0.39,9,9,0.8
"60650301031000",3.6,0.39,0.3,34,34,8
"60650301031002",0,0,0,0,0,0
"60650301031001",1.6,0.21,0.15,22,22,4
"60650301031003",7.2,0.36,0.39,42,42,8
"60650301031004",2,0.27,0.21,32,32,2.4
"60650301031005",4.4,0.15,0.3,39,39,6.4
"60650301032013",6,0.18,0.33,76,76,13.6
"60650301032008",11.6,0.9,0.96,64,64,12
"60650301032017",0.8,0.09,0.06,5,5,95.2
"60650301032016",4.4,0.39,0.36,36,36,7.2
"60650301032000",5.6,0.24,0.6,31,31,8.8
"60650301032001",0,0,0,0,0,0
"60650301032002",6.8,0.24,0.84,80,80,21.6
"60650301032007",0,0,0,0,0,0
"60650301032003",3.6,0.09,0.36,23,23,7.2
"60650301032010",3.2,0,0,20,20,1.6
"60650301032004",4.8,0.36,0.33,26,26,1.6
"60650301032005",0,0,0,0,0,0
"60650301032006",0,0,0,0,0,0
"60650301032012",0,0,0,0,0,0
"60650301032015",1.2,0.09,0.09,15,15,4.8
"60650301032009",2.4,0.27,0.33,27,27,6.4
"60650301032011",0,0,0,0,0,0
"60650301032014",0,0,0,6,6,1.6
"60650301032018",0,0,0,0,0,0
"60650301041017",0,0,0,0,0,0
"60650301041015",4,0.15,0.15,28,28,6.4
"60650301041009",2,0.06,0.21,26,26,0.8
"60650301041022",0.8,0.09,0.21,23,23,3.2
"60650301041023",3.2,0.15,0.12,28,28,3.2
"60650301041002",2.8,0.42,0.39,18,18,0.8
"60650301041003",1.2,0.33,0.03,31,31,0.8
"60650301041008",2.4,0.06,0.15,15,15,0
"60650301041004",8.4,0.42,0.45,63,63,9.6
"60650301041005",0.4,0.03,0.03,3,3,0
"60650301041006",5.6,0.45,0.33,43,43,12
"60650301041010",14,0.84,1.02,120,120,14.4
"60650301041007",4.4,0.24,0.09,26,26,4
"60650301041012",6,0.6,0.72,38,38,2.4
"60650301041014",0,0,0,0,0,0
"60650301041016",0,0,0,8,8,0
"60650301041021",3.2,0.15,0.33,19,19,3.2
"60650301041018",1.2,0.09,0.09,6,6,1.6
"60650301041019",0,0,0,0,0,0
"60650301041020",0,0,0,0,0,0
"60650301041024",1.6,0.03,0.03,11,11,0.8
"60650301041025",1.6,0.09,0.09,12,12,0.8
"60650301041011",0,0,0,0,0,0
"60650301041013",0,0,0,0,0,0
"60650301041000",27.6,1.41,1.98,226,226,25.6
"60650301041001",4.4,0.42,0.33,36,36,0.8
"60650301042011",5.2,0.12,0.12,33,33,1.6
"60650301042003",0,0,0,0,0,0
"60650301042010",0,0,0,0,0,0
"60650301042002",0,0,0,0,0,0
"60650301042004",0.4,0.15,0.15,23,23,6.4
"60650301042005",3.6,0.36,0.42,38,38,11.2
"60650301042007",6.4,0.39,0.3,55,55,16.8
"60650301042006",8.8,0.63,0.66,47,47,20.8
"60650301042009",2.8,0.27,0.3,40,40,4.8
"60650301042000",2.8,0.12,0.12,20,20,7.2
"60650301042008",2,0.27,0.15,38,38,8.8
"60650301042013",0,0,0,0,0,0
"60650301042001",0,0,0,0,0,0
"60650301042012",0,0,0,0,0,0
"60650301043006",5.6,0.42,0.48,39,39,6.4
"60650301043001",6.8,0.57,0.69,49,49,2.4
"60650301043002",1.2,0.06,0.09,11,11,0.8
"60650301043008",0,0.09,0,27,27,0.8
"60650301043027",5.2,0.36,0.06,46,46,3.2
"60650301043009",0,0,0,0,0,0
"60650301043010",8.8,0.81,0.93,67,67,4
"60650301043013",7.2,0.72,0.33,37,37,0
"60650301043018",1.2,0.03,0.15,17,17,0.8
"60650301043019",3.2,0.21,0.33,31,31,4
"60650301043020",4.8,0.18,0.06,18,18,3.2
"60650301043021",9.2,0.39,0.6,51,51,8.8
"60650301043022",5.6,0.72,0.36,56,56,10.4
"60650301043023",0,0.03,0.06,9,9,4.8
"60650301043024",7.6,0.45,0.54,46,46,12.8
"60650301043025",1.2,0.33,0.27,43,43,15.2
"60650301043026",2.4,0.15,0.48,29,29,13.6
"60650301043028",0.4,0.12,0.15,10,10,4
"60650301043029",0,0,0,0,0,0
"60650301043003",7.6,0.39,0.27,64,64,4
"60650301043000",3.2,0.45,0.33,44,44,5.6
"60650301043012",34,2.19,2.16,168,168,18.4
"60650301043007",9.6,0.72,0.45,62,62,13.6
"60650301043016",6.4,0.48,0.6,46,46,21.6
"60650301043011",1.2,0.15,0.06,10,10,1.6
"60650301043014",9.6,0.54,0.24,54,54,4.8
"60650301043015",4,0.54,0.63,59,59,12.8
"60650301043004",0,0,0,0,0,0
"60650301043005",0.8,0.06,0.15,14,14,2.4
"60650301043017",7.2,0.39,0.39,51,51,5.6
"60650302001005",1.6,0.09,0.06,17,17,6.4
"60650302001003",3.6,0.42,0.51,35,35,22.4
"60650302001007",0.8,0,0.03,15,15,0
"60650302001004",0,0,0,0,0,0
"60650302001011",0,0,0,0,0,0
"60650302001010",0,0,0,0,0,0
"60650302001012",0,0,0,0,0,0
"60650302001013",0,0,0,0,0,0
"60650302001015",0,0,0,0,0,0
"60650302001019",0,0,0,0,0,0
"60650302001020",0,0,0,0,0,0
"60650302001021",0,0,0,0,0,0
"60650302001022",0,0,0,0,0,0
"60650302001036",0.8,0.18,0.12,3,3,4
"60650302001047",0,0,0,0,0,0
"60650302001023",0,0,0,0,0,0
"60650302001026",0,0,0,4,4,1.6
"60650302001014",0,0,0,2,2,0.8
"60650302001028",0,0,0,1,1,0
"60650302001024",7.6,0.12,0.27,35,35,17.6
"60650302001025",0.4,0,0,2,2,0.8
"60650302001027",4.8,0.57,0.21,34,34,2.4
"60650302001029",0.4,0,0,4,4,1.6
"60650302001030",0,0.06,0.03,5,5,0.8
"60650302001031",0,0,0.09,0,0,0
"60650302001034",0,0.03,0,9,9,7.2
"60650302001037",1.6,0.03,0.27,8,8,2.4
"60650302001038",0,0,0,0,0,0
"60650302001039",0.4,0.03,0,4,4,0
"60650302001040",0.8,0,0,2,2,0.8
"60650302001041",0,0,0,3,3,2.4
"60650302001042",4.8,0.15,0.12,16,16,2.4
"60650302001043",0.4,0,0.09,7,7,3.2
"60650302001044",1.2,0.03,0.09,16,16,0
"60650302001046",1.2,0.18,0.06,16,16,0
"60650302001049",3.6,0.15,0.09,31,31,4
"60650302001051",0,0,0,0,0,0
"60650302001032",0.8,0.12,0.27,3,3,0.8
"60650302001033",1.2,0.06,0,6,6,1.6
"60650302001035",0.8,0.09,0.03,5,5,2.4
"60650302001045",2.4,0.18,0.06,14,14,1.6
"60650302001048",2,0.06,0.06,11,11,0.8
"60650302001050",0.8,0.03,0.03,11,11,0.8
"60650302001006",0,0,0,0,0,0
"60650302001008",0,0,0.03,4,4,2.4
"60650302001016",0,0,0,0,0,0
"60650302001017",0,0,0,0,0,0
"60650302001018",0,0,0,0,0,0
"60650302001001",0,0,0,0,0,0
"60650302001000",0,0,0,0,0,0
"60650302001002",0,0,0,0,0,0
"60650302001009",0,0,0,1,1,6.4
"60650302002011",0,0,0,0,0,0
"60650302002000",6.4,0.45,0.42,63,63,21.6
"60650302002001",0,0,0,0,0,0
"60650302002003",0,0,0,0,0,0
"60650302002005",1.2,0,0.09,13,13,1.6
"60650302002006",0,0,0,0,0,0
"60650302002002",6.4,0.39,0.36,40,40,2.4
"60650302002004",0,0,0,0,0,0
"60650302002009",0,0,0,0,0,0
"60650302002012",0,0,0,0,0,0
"60650302002007",0,0,0,0,0,0
"60650302002008",0,0,0,0,0,0
"60650302002010",0,0,0,0,0,0
"60650302003005",0,0,0.06,12,12,0.8
"60650302003022",1.2,0.12,0.12,14,14,0.8
"60650302003003",4,0.06,0.09,29,29,1.6
"60650302003014",1.6,0.06,0.18,16,16,3.2
"60650302003000",1.2,0.03,0,4,4,4
"60650302003006",2.8,0.09,0.06,39,39,1.6
"60650302003001",0.8,0.03,0.06,5,5,0.8
"60650302003002",1.2,0.06,0.18,17,17,0
"60650302003004",4,0.09,0.12,40,40,3.2
"60650302003007",1.6,0.03,0.3,18,18,3.2
"60650302003008",1.2,0.06,0.06,8,8,1.6
"60650302003011",0.4,0.21,0.09,8,8,1.6
"60650302003016",0.8,0.03,0.12,5,5,0.8
"60650302003017",0,0,0,0,0,0
"60650302003009",1.6,0.21,0.03,14,14,4
"60650302003010",3.2,0.12,0.09,19,19,0
"60650302003012",0,0,0,2,2,0.8
"60650302003018",0.8,0.09,0.15,25,25,1.6
"60650302003013",0.8,0.21,0.18,7,7,0.8
"60650302003015",1.2,0.12,0.24,16,16,0.8
"60650302003019",0,0,0.03,7,7,4.8
"60650302003020",1.6,0.09,0.12,22,22,1.6
"60650302003021",4.4,0.18,0.03,24,24,4
"60650302004001",0.8,0.09,0.03,4,4,1.6
"60650302004005",1.6,0.12,0.12,14,14,3.2
"60650302004006",0,0,0,4,4,4
"60650302004002",0.4,0.03,0.06,10,10,4
"60650302004003",5.6,0.03,0.12,16,16,0
"60650302004004",0.4,0,0.03,4,4,1.6
"60650302004007",-0.4,0,0,0,0,3.2
"60650302004008",0.4,0.06,0.12,5,5,16
"60650302004010",0,0,0,0,0,0
"60650302004011",0.8,0.09,0.12,4,4,12.8
"60650302004012",1.2,0.09,0.12,12,12,5.6
"60650302004013",1.2,0.03,0.09,9,9,4
"60650302004014",2.8,0.12,0.12,11,11,2.4
"60650302004015",0,0,0,0,0,0
"60650302004016",2.8,0.15,0.12,13,13,54.4
"60650302004000",0,0.03,0.12,6,6,9.6
"60650302004009",0,0.18,0.09,8,8,5.6
"60650302005006",0.8,0,0.06,1,1,0
"60650302005015",0.8,0.03,0.03,6,6,4.8
"60650302005004",0,0.09,0.06,3,3,1.6
"60650302005020",1.2,0.06,0.15,8,8,2.4
"60650302005000",0.8,0.15,0.24,6,6,1.6
"60650302005003",0,0,0,0,0,0.8
"60650302005007",0,0,0,3,3,0.8
"60650302005009",-0.8,0,0,5,5,2.4
"60650302005010",0,0.09,0.06,3,3,0
"60650302005012",0,0,0.09,1,1,3.2
"60650302005013",0,0,0.06,3,3,0
"60650302005014",2,0.03,0.27,7,7,1.6
"60650302005017",0.8,0.15,0.21,11,11,0.8
"60650302005019",1.2,0.24,0.06,10,10,3.2
"60650302005022",0,0.12,0.06,3,3,0
"60650302005023",0.4,0.06,0,5,5,2.4
"60650302005024",1.6,0.12,0.18,25,25,0.8
"60650302005001",0,0,0,0,0,5.6
"60650302005002",1.2,0.06,0,5,5,12
"60650302005005",0,0,0,0,0,1.6
"60650302005008",0,0,0,0,0,0.8
