recID,X,Y,Z,PopWH,PopOH
1,455647.6396,3758435.862,0,0,0
2,464297.7048,3762369.173,0,0,0
3,457077.6779,3758337.421,0,0,0
4,468386.0851,3759605.11,0,974.17,0
5,455853.3108,3758389.429,0,0,0
6,457261.5282,3758303.758,0,0,0
7,465127.1129,3762008.058,0,0,0
8,455776.164,3758375.119,0,0,0
9,465983.6967,3764155.289,0,0,0
10,459998.1106,3758789.053,0,0,0
11,456825.1478,3758326.616,0,0,0
12,461758.6723,3759541.79,0,0,0
13,464650.1818,3762651.26,0,0,0
14,458270.7208,3758749.791,0,0,0
15,462431.9584,3759509.269,0,0,0
16,464407.5655,3762612.974,0,0,0
17,451402.9423,3758092.769,0,0,0
18,464464.7528,3762713.061,0,0,0
19,463992.7568,3761877.908,0,0,0
20,456542.4254,3758251.655,0,0,0
21,465395.4856,3761785.268,0,0,0
22,452586.5877,3759157.171,0,0,0
23,464489.8407,3765377.733,0,2.43,0
24,474792.0252,3747963.459,0,0,0
25,459838.0149,3758746.898,0,0,0
26,452267.4727,3758882.189,0,0,0
27,465404.7568,3763497.151,0,0,0
28,464697.4008,3762879.653,0,0,0
29,451295.3405,3758058.36,0,0,0
30,464954.7486,3761778.984,0,0,0
31,464538.2765,3762690.487,0,0,0
32,474378.8501,3749429.849,0,0,0
33,453595.2977,3759033.044,0,0,0
34,465477.5423,3763802.128,0,0,0
35,469089.0388,3758254.607,0,0,0
36,464196.8064,3761959.551,0,0,0
37,458998.9446,3758732.917,0,0,0
38,464770.694,3762812.752,0,0,0
39,461219.9123,3752317.556,0,6.86,0
40,468184.7348,3756655.273,0,47.29,0
41,468500.0449,3753630.776,0,47.89,0
42,471831.1743,3755904.597,0,107.08,0
43,467736.1746,3762751.678,0,0,0
44,461753.8,3758328.113,0,32.35,0
45,468744.3342,3747588.322,0,74.03,0
46,468415.1763,3752034.386,0,0,0
47,464574.3426,3749642.959,0,4.03,0
48,464562.1229,3760340.632,0,37.3,0
49,457090.006,3756740.315,0,194.15,0
50,455579.5411,3751125.461,0,31.73,0
51,465761.5567,3763070.947,0,71.88,0
52,465139.6021,3757934.123,0,0,0
53,466204.7355,3759991.852,0,0,0
54,463552.4707,3758479.892,0,39.47,0
55,468260.4542,3760654.696,0,48.7,0
56,473719.1555,3753579.295,0,33.49,0
57,463008.419,3754684.755,0,95.36,0
58,465171.3817,3758606.836,0,0,0
59,459215.8201,3756068.775,0,672.34,0
60,457065.7524,3759491.504,0,0,0
61,468924.2558,3764021.747,0,23.06,0
62,463938.3629,3758609.276,0,46.89,0
63,456751.8683,3756918.274,0,114,0
64,474423.6069,3750518.688,0,0,0
65,461665.5411,3753113.546,0,124.42,0
66,460405.8119,3757938.14,0,67.5,0
67,466892.1548,3759373.797,0,43.82,0
68,458312.6714,3751299.05,0,173.28,0
69,455515.9782,3756199.729,0,5.4,0
70,453836.6846,3749477.741,0,53.3,0
71,470684.3322,3757100.243,0,0,0
72,455759.7691,3755065.376,0,30.41,0
73,474411.6644,3750169.867,0,0,0
74,463526.9425,3758736.179,0,81.92,0
75,471223.5098,3756966.933,0,0,0
76,471719.6996,3752710.913,0,30.4,0
77,460212.8025,3755564.425,0,67.88,0
78,465791.6937,3761992.26,0,0,0
79,464550.356,3761117.836,0,42.26,0
80,470314.2754,3751112.561,0,34.62,0
