recID,X,Y,Z,PopWH,PopOH
1,469073.0364,3749323.803,0,3071,0
2,471064.6627,3758742.411,0,663,0
3,455470.3086,3748011.223,0,747,0
4,470377.4321,3750477.821,0,819,0
5,471691.6417,3749831.832,0,740,0
6,470011.272,3748797.453,0,1055,0
7,464707.1848,3759812.112,0,117,0
8,469508.2334,3750816.509,0,1018,0
9,458698.2613,3747206.141,0,831,0
10,467611.8403,3748765.41,0,1033,0
11,471259.2339,3750057.724,0,926,0
12,465858.2901,3756847.027,0,2465,0
13,455199.9148,3750057.717,0,1638,0
14,457008.5484,3750244.842,0,918,0
15,462433.1634,3755473.142,0,730,0
16,464318.3041,3757313.182,0,760,0
17,453160.2196,3749336.497,0,1398,0
18,469033.0873,3760006.097,0,573,0
19,455127.0279,3751691.558,0,759,0
20,466393.7165,3757123.953,0,761,0
21,460449.5533,3752784.1,0,1928,0
22,464996.2508,3761126.732,0,441,0
23,468177.2911,3755202.595,0,647,0
24,458995.7371,3751718.727,0,493,0
25,460784.6525,3752400.186,0,736,0
26,469909.4985,3763879.362,0,761,0
27,466867.2155,3759709.861,0,741,0
28,463727.0554,3758101.487,0,614,0
29,468019.8649,3760097.503,0,2228,0
30,461844.9657,3755611.739,0,2157,0
31,465978.578,3748985.709,0,660,0
32,465620.4147,3762591.236,0,608,0
33,454626.9403,3756208.411,0,489,0
34,455738.3485,3752668.227,0,578,0
35,455708.4285,3752138.093,0,1723,0
36,453859.1719,3756110.649,0,992,0
37,456279.7923,3753329.692,0,526,0
38,456134.0024,3756649.865,0,2123,0
39,456759.6627,3756722.833,0,687,0
40,454405.564,3754690.181,0,459,0
41,459787.7374,3756131.109,0,539,0
42,467505.2315,3758416.634,0,740,0
43,466451.4462,3762002.572,0,552,0
44,464970.9446,3755461.887,0,1014,0
45,458548.7356,3755244.634,0,740,0
46,460895.9311,3756192.514,0,993,0
47,458350.2031,3753489.195,0,725,0
48,460125.5562,3754976.074,0,646,0
49,461443.828,3757801.402,0,833,0
50,461964.3365,3756972.721,0,871,0
51,469229.4449,3754189.883,0,657,0
52,465313.9885,3756145.628,0,575,0
53,464596.0291,3755025.317,0,876,0
54,453827.6985,3751820.033,0,699,0
55,456719.2685,3755768.489,0,523,0
56,457240.8081,3754979.393,0,565,0
57,455835.4134,3750333.859,0,557,0
58,453215.3269,3753632.317,0,571,0
59,456638.3953,3754773.594,0,899,0
60,459926.3627,3754092.624,0,951,0
61,468938.4654,3760893.799,0,850,0
62,464944.997,3755697.646,0,253,0
63,464707.2051,3756195.956,0,348,0
64,464860.0831,3759882.318,0,602,0
65,455522.8354,3755145.642,0,163,0
66,464860.0831,3759882.318,0,581,0
67,464812.9204,3759060.074,0,172,0
68,455731.4811,3754881.678,0,626,0
69,464424.6685,3759098.547,0,684,0
70,469728.6854,3760644.398,0,704,0
71,454717.3143,3750178.247,0,168,0
72,464860.0831,3759882.318,0,307,0
73,459362.7976,3753816.147,0,186,0
74,460326.1251,3751302.001,0,263,0
75,456144.8809,3763361.891,0,60,0
76,466096.8682,3749418.831,0,43,0
77,466495.9278,3749129.011,0,65,0
78,457661.8864,3753213.576,0,119,0
79,463209.1105,3755476.509,0,108,0
80,458482.7078,3754206.917,0,74,0
81,467809.6388,3754384.152,0,285,0
82,456432.1983,3752808.851,0,30,0
83,464511.1118,3759244.806,0,84,0
84,464860.0831,3759882.318,0,150,0
85,460244.3122,3752534.646,0,168,0
86,464707.1848,3759812.112,0,106,0
87,461380.1164,3756940.477,0,257,0
88,457661.8864,3753213.576,0,129,0
89,469689.8578,3752526.844,0,260,0
90,466166.2754,3759028.31,0,197,0
91,464944.997,3755697.646,0,143,0
92,465540.7465,3759546.401,0,220,0
93,463279.9816,3756220.392,0,242,0
94,461380.1164,3756940.477,0,238,0
95,463411.7421,3756065.837,0,485,0
96,460298.9732,3753939.673,0,326,0
97,460298.9732,3753939.673,0,283,0
98,464692.047,3757371.037,0,78,0
99,468258.8263,3749380.573,0,540,0
100,463768.8838,3756146.805,0,399,0
101,459728.5793,3756458.102,0,415,0
102,454183.5945,3753064.64,0,558,0
103,463165.2322,3757973.692,0,119,0
104,469134.5982,3759826.096,0,48,0
