_id,_x,_y
0,1004768.6158160479,3761687.2559589045
1,1004722.5015415379,3762027.723565964
10,1027246.1418428957,3763019.107871909
100,1007158.657336737,3763619.1073877583
1000,1021787.6879178978,3770101.588762129
10000,1025090.7725308586,3769004.015726302
10001,1025324.8095727355,3768957.060327149
10002,1025466.6992775117,3768837.7355849906
10003,1025723.3778529597,3767072.784682444
10004,1007703.8263782251,3764214.2829994974
10005,1020966.0133643758,3767485.8446547673
10006,1021130.053052281,3767588.1855643718
10007,1021187.6812825603,3767599.948706244
10008,1023276.9585609024,3766315.751091545
10009,1023264.3047271542,3766421.6814496224
1001,1021466.0231760661,3769990.6241699546
10010,1023257.6053368971,3766521.5675751674
10011,1023247.7469478553,3766697.6134603913
10012,1015454.488077493,3767740.3359503034
10013,1015426.428499615,3767776.5518249357
10014,1016123.6469787102,3766998.4631151054
10015,1006452.3520056563,3769066.0692891334
10016,1006440.9180253921,3769272.0022929995
10017,1006434.445038804,3769365.6776250927
10018,1010095.0592148625,3766279.799543304
10019,1010070.5400381882,3766309.468427625
1002,1022163.9642809988,3778602.231624734
10020,1010153.38139633,3766321.2053504693
10021,1010141.8205681047,3766313.9322795616
10022,1008998.1541671753,3762940.384751994
10023,1008929.9601710462,3762889.404704945
10024,1024631.5699189726,3767465.6156328125
10025,1024363.9810826757,3767572.4300916884
10026,1012672.783648536,3767480.9609926487
10027,1011486.1157805467,3767509.4102151836
10028,1011464.4907851056,3767794.9548256574
10029,1011411.2111175978,3767945.758633055
1003,1022238.1364992824,3778565.14616089
10030,1011343.7237475496,3768015.823079557
10031,1011302.4873305768,3768064.937716754
10032,1011211.231913629,3768172.4400503803
10033,1003556.6306555353,3760534.837587003
10034,1004363.0073649264,3761131.0914988653
10035,1006027.0147497577,3764752.106862564
10036,1006083.8977087019,3764752.5501658446
10037,1006139.3752969427,3764760.002829524
10038,1020456.8239240566,3772001.2364982953
10039,1020378.2677931613,3771828.4608121524
1004,1022344.4892493726,3778508.740178823
10040,1020373.7450955226,3771931.3497949974
10041,1010498.2767378187,3766249.4862106796
10042,1010626.894380266,3766081.453453401
10043,1019916.5026849867,3766724.9642333784
10044,1020028.3841144079,3766730.807664391
10045,1008559.2461592001,3768910.9627072397
10046,1008515.2277584628,3768988.709092201
10047,1008553.7787706256,3769086.7562089134
10048,1008631.0266040908,3769087.7346787443
10049,1008345.3227646312,3763688.6885325518
1005,1022405.6715294358,3778477.889054116
10050,1008330.4535352588,3763686.899601355
10051,1008287.9341719095,3763660.7817296004
10052,1008281.3880660301,3763656.7436583387
10053,1008208.3296476281,3763605.4184281244
10054,1022341.7886289915,3770022.583104865
10055,1022292.6049325545,3770010.6970666936
10056,1011268.5482344601,3777795.4131580316
10057,1011277.9660583844,3777677.628836932
10058,1011279.6416097984,3777656.6429311843
10059,1011280.0179430854,3777652.095963041
1006,1022540.7311788019,3778414.6627059476
10060,1011281.5185678815,3777452.9176170607
10061,1011289.4262527799,3777301.197281731
10062,1011307.7154434525,3776867.3533305516
10063,1011312.9122662512,3776765.2926719654
10064,1015818.0495944505,3767585.6036141817
10065,1019694.6017806998,3769315.2286031824
10066,1019475.9327126038,3769605.2496083323
10067,1019939.8937080819,3773575.1747332383
10068,1019945.5143715807,3773614.2122352724
10069,1021841.9392904125,3778376.7622974156
1007,1009452.1060972528,3766720.4522914146
10070,1021768.4779866799,3778396.1519279405
10071,1021702.6717649454,3778413.5254161917
10072,1021666.9758126063,3778422.971479626
10073,1021212.2088446744,3778610.3494527573
10074,1021161.1302115275,3778682.77935212
10075,1018729.4794821526,3769898.878100044
10076,1018531.1688998076,3769743.324290081
10077,1011345.08904097,3773878.3570926758
10078,1011178.6764589438,3773824.522259089
10079,1018953.4719937977,3767724.3179258048
1008,1009314.8055818258,3766955.153847049
10080,1016891.0414736071,3772412.190505187
10081,1007785.0469380033,3763524.329130949
10082,1011420.8109655349,3776881.1248782123
10083,1021064.5901725903,3776835.483657646
10084,1019152.5052688955,3761417.2770346785
10085,1017507.3015254558,3772943.311649679
10086,1017445.6908709009,3772807.258509853
10087,1021187.1056594292,3775478.3133911304
10088,1021176.4447418265,3775483.4740359015
10089,1021100.2268948875,3775520.3577615106
1009,1016891.5996760807,3772549.9673887547
10090,1021065.0603228541,3775537.3689354965
10091,1021003.3327879556,3775567.3206786765
10092,1020701.7803401131,3775714.099237102
10093,1007368.107017973,3763478.9647960053
10094,1007388.8235533676,3763473.735887371
10095,1007416.889938705,3763385.705161635
10096,1007357.6930946226,3763443.9217667556
10097,1024538.4841049368,3766965.257566515
10098,1011206.3947887721,3764224.1735670054
10099,1019372.2224783581,3766820.509991726
101,1007174.8156281605,3763631.522930492
1010,1016934.9485018209,3772487.041728081
10100,1019359.5788632809,3766815.6273023887
10101,1018924.3016296563,3766486.4141062493
10102,1018640.6746002315,3766267.0593167837
10103,1012098.442760133,3774966.3567906423
10104,1012121.2106698552,3774996.1881858697
10105,1017075.6282528765,3774505.943016779
10106,1017088.327742859,3774433.341664869
10107,1025260.0988976711,3768889.308865481
10108,1011810.0965206146,3763546.4203110263
10109,1011861.3790721989,3763473.306444327
1011,1006642.0493373234,3764014.598365112
10110,1011919.0461749381,3763405.672936739
10111,1011953.379121949,3763352.263425125
10112,1008251.3715231072,3763933.919023346
10113,1005629.7759503624,3767754.6463582423
10114,1005620.2883586586,3767916.0600163657
10115,1005590.7133472657,3768450.0976878605
10116,1005586.194962421,3768532.9162110128
10117,1005584.1360520417,3768570.5769250123
10118,1005582.4110406956,3768602.1627096077
10119,1005570.471543726,3768820.7197457035
1012,1006728.3647582489,3763819.954801579
10120,1005563.8332874698,3768924.6104872175
10121,1005560.4836686142,3768977.0387567934
10122,1005525.3906287596,3769627.213072363
10123,1005581.3714799334,3769775.9534366606
10124,1005587.126309407,3769838.6481545055
10125,1005543.8545442959,3769974.6980094714
10126,1005507.7821777505,3770025.0540379365
10127,1005504.6241410368,3770035.8566928008
10128,1005501.9281636624,3770078.996976983
10129,1005501.7704753178,3770081.773184817
1013,1017693.3580919751,3763419.3651251374
10130,1005487.4403256176,3770330.0428499985
10131,1005486.886410388,3770335.7161771758
10132,1005443.1060234173,3770510.1445418745
10133,1005423.2734189732,3770553.8390295836
10134,1024766.1352155491,3763532.313871163
10135,1024856.0660935801,3763467.185560249
10136,1016477.4532459718,3763376.7198593053
10137,1016876.8684263844,3763399.5500389966
10138,1015985.1830715123,3771610.6638506935
10139,1004822.5577642663,3761993.8546524276
1014,1017913.1550046685,3763115.272111772
10140,1004836.0027554787,3761994.5147642526
10141,1004906.420208915,3762004.334383622
10142,1004970.518781282,3762014.007382583
10143,1004291.2952298003,3761879.1543455296
10144,1004369.9813419062,3761894.566470629
10145,1004383.0005421031,3761897.1190257664
10146,1004388.0950013376,3761898.1028440357
10147,1004449.408829066,3761910.1857954664
10148,1004530.7940345865,3761926.1995770973
10149,1004568.4604821147,3761933.460966721
1015,1018033.8716210858,3762965.5724843857
10150,1004588.0413154052,3761937.00898352
10151,1010996.5141136739,3764549.956439592
10152,1007812.1950093333,3762501.1123435535
10153,1007806.1247152046,3762490.773422286
10154,1007514.470755692,3762285.2967428933
10155,1007443.2394897316,3762231.1483323365
10156,1007145.3514001465,3762005.9485327546
10157,1027165.9817891095,3767478.9198314156
10158,1012865.6008275305,3765037.0015101
10159,1010391.899860366,3764783.041073559
1016,1018119.2366399243,3762867.518356966
10160,1010345.445511341,3764842.551417652
10161,1020201.7080497423,3768402.1564640766
10162,1020342.7750208585,3768348.1215099357
10163,1006750.5424552886,3762816.9943885254
10164,1006795.869118621,3762833.997925979
10165,1006899.9816749084,3762873.0694869016
10166,1026353.5191585139,3770961.393858986
10167,1023203.1275389895,3778392.900684282
10168,1023213.6386192476,3778121.6319030626
10169,1023218.1306268015,3778054.2022634516
1017,1018135.1092601193,3762848.6218482577
10170,1023222.5911536105,3777987.17200539
10171,1015668.2011252434,3777497.8509908444
10172,1023692.3364986251,3771628.184099074
10173,1023790.7109229434,3771807.1762869996
10174,1022140.8894699068,3770759.6826251447
10175,1022980.2393319655,3778812.850275302
10176,1022933.5797613196,3778741.581251424
10177,1022029.4165205612,3776607.7859778022
10178,1019844.265487039,3762354.306630264
10179,1022372.2702238867,3778251.73501536
1018,1018466.5656119488,3762587.3380105374
10180,1012372.5731208129,3765009.5871022097
10181,1019682.0433739789,3770823.166029061
10182,1021653.5108653733,3775857.3313347255
10183,1021634.3307497045,3775812.2716489807
10184,1022467.7372307833,3775439.742349628
10185,1022578.2228501148,3775119.9379758905
10186,1019001.4221313655,3767274.1123246807
10187,1025031.4687220817,3768452.2797758905
10188,1025015.2859524633,3768654.721226754
10189,1025000.1013686745,3768934.0790051688
1019,1018903.0420633284,3762304.5023318967
10190,1024967.8750935297,3769040.818768553
10191,1014642.0759271248,3774876.4555874574
10192,1014661.2406741874,3774859.742217386
10193,1014667.2964106172,3774847.049029455
10194,1011355.8161342738,3774883.2617498664
10195,1011282.7760879681,3774878.1810072074
10196,1011272.237122939,3774877.454339438
10197,1010541.7549164619,3774840.565915302
10198,1016510.4458831304,3762669.519710377
10199,1016905.382933355,3762696.1236799615
102,1007168.8067037631,3763638.9650429017
1020,1019134.922071501,3762189.093965773
10200,1017087.7351586224,3762708.373487292
10201,1009512.5510372247,3762814.332010423
10202,1009545.0807249069,3763021.497806021
10203,1012915.1721009454,3766506.0339730754
10204,1012872.8234949425,3766473.7401376036
10205,1012722.0506436204,3766356.3589173616
10206,1025370.9714100064,3779077.398371994
10207,1004561.6269086495,3768515.624439315
10208,1024790.8884286879,3779043.981193826
10209,1024768.2939365655,3778934.148964561
1021,1019271.0876537296,3762041.2532163905
10210,1005546.8544103173,3763731.4668383775
10211,1005533.2891931843,3763749.645034905
10212,1005449.9883716567,3763808.6792817786
10213,1024384.9045999788,3768178.7853467404
10214,1022910.9354237921,3774493.9818116664
10215,1022934.9089775465,3774498.7188243023
10216,1022939.3441348346,3774499.5883846898
10217,1017558.8678979678,3774927.0457783965
10218,1017496.7781763361,3774966.546918076
10219,1017394.9932098028,3775174.0978043387
1022,1019288.0231572535,3762023.040109747
10220,1023761.9308982308,3762891.8249696544
10221,1023853.6509108806,3762897.1820980627
10222,1024012.0600641358,3762907.1172036906
10223,1024163.877449047,3762916.9356649234
10224,1022153.3762803674,3768262.486858973
10225,1011383.7490727169,3767450.85414508
10226,1022214.145346642,3777435.19379057
10227,1022090.3274249958,3777511.082301528
10228,1022063.22707909,3777523.9224713505
10229,1021990.6922689788,3777558.304441814
1023,1019349.8439163838,3761959.5563953407
10230,1021908.3790558566,3777599.5442361855
10231,1021805.968182139,3777649.009966551
10232,1025391.0526504448,3773408.7915099603
10233,1025362.5625211656,3773371.193939615
10234,1025315.9272115859,3773240.0029861224
10235,1013013.8589090086,3773292.446134664
10236,1013250.4016716416,3773062.449724837
10237,1013414.3272602949,3773106.058557058
10238,1007809.1555720124,3763974.3156388956
10239,1020312.2405100176,3764959.7830332313
1024,1019360.16868805,3761950.22849014
10240,1024957.1304113838,3778276.673865858
10241,1013373.9030411206,3769571.2241489394
10242,1006845.585766602,3762621.714011537
10243,1006812.6480566617,3762692.17589441
10244,1006800.7323111698,3762717.658924093
10245,1006785.6171907953,3762749.9882486383
10246,1005592.4215025094,3762328.668947576
10247,1005491.4111116901,3762286.8384118136
10248,1020499.5085179503,3770255.4548963406
10249,1020487.4049345981,3770262.9555312465
1025,1019532.3129863148,3761836.558620808
